,Job_ID,Job_Title,Company_Name,Location,Job_Description
0,,Data Scientist,Stattec,Amsterdam,"[AmsterdamFulltime, Bepaalde tijd€3.500 per maandJob DescriptionAs a Data Scientist you develop the intelligence and analyses that gives our client the leading edge doing business in the Netherlands :You will be a specialist in advanced data analytics and fulfil a broad role in developing analytical transformation;You will operate within a complex web of data sources and advise and execute analysis that leads to new insights;You will be presenting your insights and products to various stakeholders, from executive management to your colleagues;Your analytical solutions will be implemented in the mobile app or online environment and are used by millions of people and businesses in the Netherlands;You will actively participate in knowledge sharing, meetups, code reviews and deep dives to develop the ambitious team that you are part of;You will be working in small multi-disciplinary teams with roles such as business consultants and data engineers.RequirementsAbstract thinking, creativity, strong analytical and quantitative skills are essential for the role of Data Scientist within the team. Hence it is important that you meet the following characteristics:A Master’s Degree in Computer Science, Econometrics, Artificial Intelligence, Applied Mathematics or equivalent;Experience in data analytics and in statistical (regression, clustering and classification), descriptive and diagnosis methods; knowledge of forecasting methods;An inquisitive mind-set eager to solve complex problems;Demonstrable programming experience in Python or another programming language such as Java/C/C++/R;Experience with Hadoop (with or without YARN), the MapReduce framework and with at least one of Hadoop’s related database systems: Hive, PySpark;Experience with DataIku is considered an advantage;Experience with Jupyter-Notebooks;Strong analytical and social skills and the capability to translate data intelligence to valuable insights for the rest of the organisation is considered an advantage;Fluent in English, both verbally and in writing;Advanced proficiency in Dutch is considered an advantage.Interested?Do you want to invest in your skills as a Data Scientist? We would love to help you achieve this goal by focusing firmly on your growth, development, and investing in an environment where you keep learning every day. Our professionals will be there to share their valuable knowledge with you. We give you the space to innovate and initiate. In this way, we offer you numerous opportunities to help you grow and excel as a professional. Based on a 36-hour working week, you can also expect:A gross yearly salary between EUR 45.000 and EUR 75.000 depending on your experience and Seniority.A thirteenth month and holiday payAn Employee Benefit Budget. You decide how to spend this budget. This may include purchasing extra leave days, making extra pension contributions or even receiving a monthly cash payoutA personal budget that you can spend on activities related to your personal development and careerFlexible working times and location-independent working100 % reimbursement of commuting costs if you travel by public transport! Do you still prefer to travel by car or motorbike? Then choose a commuting allowanceA pension schemeSecundaire arbeidsvoorwaarden:PensioenVakantiegeldFlexibele werkurenSoort dienstverband: Fulltime, Bepaalde tijdSalaris: €3.500,00 per maand]"
1,52ffedd85cddbe36,Data Scientist,Talpa Network,Amsterdam,"[AmsterdamData Scientist

Working at the essence of understanding consumers: transforming data into shiny top-notch experiences

As a Data Scientist at Talpa Network, you will create AI solutions that impact million of users. This job is for a Data Scientist who is ready to unlock the potential of vast amounts of complex rich data and create first-class personalised consumer experiences for Talpa products like Kijk.nl, Voetbal.tv and Radio 538.
As part of our new AI team, you participate in AI projects from scratch, building machine learning models that will be put in production in one of our products. You will also work on automated testing and validation of the model’s output using technical and business metrics.
FULL-TIME · AMSTERDAM
Your typical day at Talpa Network
The day starts with strong espresso and a deep dive in Jupyter notebooks using Spark and the PyData Stack in a JupyterHub EMR cluster in AWS.
After taking a quick look at the Jira board, you go to a brainstorm session to discuss new features and modelling approaches for problems like recommendation engines, entity extraction, image tagging, etc.
Then, together with the Machine Learning Engineer you create robust code in a python package to train and deploy your models.
It’s time for lunch, and together with the team you hit the shores of the IJ harbour to grab some food and have some fun.
On the way back you feel good about the value you are bringing to Talpa consumers and open a mobile app to see your machine learning model in action.
A hands-on session with the Lead AI to improve your level is up next.
The afternoon you spend getting your hands dirty implementing those new modelling ideas to improve that recommendation engine or speech-to-text model.
On your way home you think about how to implement a specific metric, data split and loss function that will test your model according to the use case.

Our Technology Stack
Python data stack: Pandas, Scikit-learn, NumPy, Scipy, Matplotlib, Nltk, Xgboost, Lightgbm, Seaborn, Jupyter
Python virtual environments
Solid programming skills: OOP, FP, algorithms, unit testing, data structures
Basic knowledge of Spark
Basic knowledge of the command line

Nice to haves:
Deep Learning tech stack: Keras, PyTorch or TensorFlow
Cloud experience, preferably AWS
Bayesian models
Streaming algorithms
Spark ML

A remarkable Technology Team

You are welcome in our recently created AI team based in our buzzing office in Amsterdam, near the ‘Muziekgebouw aan ‘t IJ’. An energetic and creative bunch, we, the platform team, the engineering team and the AI team, are tech-experts that share best practices on how to build something that works. Communication with each other and departments like Legal, DevOps and Cybersecurity, is effective and fast, in order to get to a solution ASAP.

What we offer
An environment where your work is extremely valuable and will impact millions of users.
A location in the middle of Amsterdam with benefits like meetups, conferences and events.
A competitive salary.
A good architecture where responsibilities are clear, and every component works together to create value by taking AI solutions to production.
Dedicated time to contribute to open-source projects related to your daily work.
A budget for your personal development and guidance from the Lead of AI.
Getting access to our cool events like 538 King’s Day, 538 DJ Hotel, Das Coen und Sander Fest and Waylon Live in concert.

You are a quality-oriented Data Scientist with:
At least 2 years of experience;
Advanced knowledge of statistics;
Advanced knowledge of traditional Machine Learning;
Basic knowledge of Deep Learning;
Experience in building models for production;]"
2,7f0c89ee99b23569,Data Scientist,ABN AMRO Bank,Amsterdam,"[AmsterdamGeneral
The Advanced Analytics Center of Expertise (AAD CoE) is a comprehensive data & analytics department part of Customer and Digital Experience in ABN AMRO Retail Banking. At this place people work on the successful banking app, but also Grip and Tikkie. Here you find our e-Commerce teams and our colleagues of ‘Video Banking’. In short, within Customer & Digital Experience the online platforms are being created and built that offer all the digital products of ABN AMRO Retail. All of these developments and products are powered by the data & analytics of the Advanced Analytics & Data CoE.

We strongly believe that online banking should be easier, faster, more delightful, and more personal to create sustainable long-term relationships with our customers. We develop suitable solutions that give our customers greater financial control. With a vast amount of data at hand, together with our unique usability lab as test-station we build digital services in an agile way that surprise customers and help them move forward.

At Customer & Digital Experience you get the freedom and responsibility to improve our products & services. In other words, we encourage you to release your creativity and put it into practice. The environment is similar to a start-up atmosphere, so feel free to wear your sneakers.

We are currently seeking a high caliber professional to join our CoE as Data Scientist. He/she will be responsible for applying advanced statistical analysis tools and ML techniques for different type of business challenges e.g., expenses forecasting, customer segmentation, customer targeting, product bundling, recommendations, text mining, predictive routing etc.
The job
Your job as a data scientist will be:
Collaborate with other data scientists and data consultants to define technical problem statement and hypothesis to test.
Understand business problems to implement scalable and sustainable solutions.
Coordinate with the Business and Grids (similar to Spotify Tribes), data consultants, IT and data engineers to deliver end to end Analytical solutions.
Design, create, test and implement complex models and algorithms that drive analytical solutions throughout the ABN AMRO organization.
Regularly test and maintain analytical models to improve efficiency and keep up with changing Business needs, ensuring timely analysis and testing for regular maintenance of solutions over time.
Write reports articulating the analytics insights and their Business impacts.
Conduct and lead meetings and workshops to explain findings.
Support data consultants in communicating the design, functioning and output of analytical models/solutions developed.
Profile
5+ years of experience in Data Science, specifically building predictive models using ML techniques.
Bachelor’s degree in Mathematics, Statistics, Physics, Data Science or other relevant degree. Masters or other advanced degrees are a plus.
Experience with object-oriented design, coding and testing, engineering Data Science/ML platforms.
Proficiency in programming languages e.g., SQL and Python or R and experience in big data technologies e.g., Hadoop, Spark.
Comfort in using SQL Server, PostgreSQL/MySQL, experience in tools based on Git or SVN and working knowledge of cloud computing platforms e.g., Microsoft Azure and AWS.
Proficiency in aggregation of large data sets, statistical analysis tools.
Expert knowledge of data modeling and understanding of different data structures.
Understanding of advanced applied mathematics in AA, artificial intelligence and array operations.
Experience in Banking and/or e-Commerce is a plus.
What we offer
We are offering

The opportunity to be the best you can be, work flexible hours and lots of room to grow both personally and professionally
The opportunity to pro-actively work on your vitality and fitness
A salary ranging from EUR 3.862-, to EUR 6.308-, per month based on a 36-hour workweek
A supplementary benefit budget of 11%, which you can spend on additional fringe benefits
A personal development budget of EUR 1.000 per year
An annual public transportation pass or travel budget, depending on the function
A solid pension plan
Additional information
This role will be located in Amsterdam. Should you want to know more about this job opening, please reach out to Alexandra Caraghiulea alexandra.caraghiulea@nl.abnamro.com or Hicham Zmarrou hicham.zmarrou@nl.abnamro.com. We very much look forward meeting you.]"
3,ddebf64a899d85d2,Data Scientist,AKKA TECHNOLOGIES,Amsterdam,"[AmsterdamFor leading clients, we are looking for a Data Scientist, who will work in our projects to support our clients in the digital revolution.
You will work in international teams, with colleagues from different backgrounds.

HBO / WO education, preferably Business or IT related;
You have at least 2/3 years of work experience in a comparable role
You are an expert in R or Python (MUST);
You have an affinity with marketing and technology;
You have experience with Google Analytics and / or other Web Analytics software;
You are experienced in JavaScript and SQL and some HTML;
You have excellent communication skills in Dutch and English;
You are analytical, flexible, independent and communicative.]"
4,4c305fdf9d3c7a33,Data Scientist,TMP WORLDWIDE,Amsterdam,"[AmsterdamData Science is the heart and core of our company. Algorithms and models are the foundation upon which our products are built, with data driving our key decisions, testing and growth. At Perengo (TMP), we are developing state-of-the-art large-scale recruitment advertising and machine learning applications. We are looking for talented data scientists to support ads management and optimization problems. In this role you will work with other data scientists, engineers, and product managers on high impact initiatives.
About Us
Perengo (TMP) is a programmatic job advertising platform.
We automate job distribution, measure / analyze performance in real time, and optimize towards our customer’s primary KPIs including cost-per-application and cost-per-hire.
Why Join Us?
Getting in at this stage means that you get to actually help further mold the company culture and engineering vision
A chance to build something revolutionary
The market is ripe for disruption and there's no doubt that whoever cracks the puzzle will win the market. This is also a rare opportunity for you to build a large-scale platform that millions of people are positively impacted by (instead of, say, boring old enterprise software that few people touch!).
Quality of the Team - Truly high-performing teams are hard to come by; joining Perengo gives you an opportunity to collaborate with, learn from, and grow together with like-minded, successful tech veterans who have a track record of building great products.
Who we are looking for:
Personality
Knows and loves the startup world
Quick thinking and acting with minimal/no supervision
Able to build enterprise-grade software off of minimal and changing requirements
Self-driven, independent, creative and eager to learn new skills
Aren't happy with good, and build to great
Role
Building machine learning models to optimize campaign performance at massive scale, in particular understanding how bids/campaign features/texts (SEM) influence business metrics
Run and analyze A/B tests and experiments for campaign feature changes/addition
Exploratory analyses to inform business strategies; identifying, creating, and transforming informative features based on historical and real-time data
Working with Product to define data collection and modeling frameworks
Coordinating and working closely with engineering to put models and algorithms into production
Requirements and Background
Deep understanding of machine learning models (supervised/unsupervised/neural network) and the best use cases for them; NLP related tasks highly desirable.
Knowledge in inferential statistics (classical/Bayesian), hypothesis-testing
Experience in optimization (multivariable optimization with constraints, combinatorics)
Experience building models and placing models into production
Well versed in statistical programming languages such as R, Python
Familiarity with relational databases such as Postgres and Amazon Redshift, and accessing data via SQL
Degree in a quantitative field including but not limited to: computer science/engineering, operations research, decision sciences, discrete mathematics
Graduate work in machine learning a plus, or relevant work experience
Bonuses: Experience using scalable technology such as Spark, Using Markov chains/simulations, Experience in advertising “Ad Tech”
Related Roles
Growth Scientist
Data Scientist, Advertising
Machine Learning Engineer, Ad Platforms

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.]"
5,d431bed1ffe0dd32,Data Scientist – ENG,Xomnia,Amsterdam,"[AmsterdamWe’re looking for a social and technical (medior/senior) Data Scientist who has experience with Computer Vision. Are you interested in working for a Big Data Start-up with a team of around a dozen of Data Scientists? Then our company might be for you!

The position
As a Data Scientist within Xomnia you will be responsible for one or multiple projects for different and diverse clients. You will also share your expert knowledge during our training sessions and when guiding our trainees. Of course, you won’t be doing this alone! You will have a strong team by your side.

Because of the activities, you will be performing, it is important that you also enjoy daily interaction with your colleagues, clients, partners and other stakeholders. You will have a medior /senior Data Scientist position within Xomnia. Experience is therefore very important. Just graduated? Our Data Science Traineeship might be better suited. Most Data Scientists (MSc or PhD) within Xomnia have an Artificial Intelligence background and know their way around R, and Python. If you have a similar experience but within a different education or toolkit, we are also very interested in getting in touch!

About Xomnia
Xomnia is the leading Dutch big data company that empowers organizations to create maximum value out of data. We excel in generating value from data by developing, integrating and maintaining your big data platforms and predictive solutions. Xomnia’s big data training programs enable and further develop the data-driven capabilities of your own employees. We deliver long term data science and big data engineering capacity through our traineeships. When in need of a temporary capacity boost, we share our experienced big data experts with you. In Xomnia you will find the full-service big data partner to realize your data-driven ambitions. Last but not least our company is located at a unique and cozy location in the city center of Amsterdam. Oh and we have a boat. Every Friday afternoon we have drinks in our office and in the summer on our boat.

Interested in joining us as a Data Scientist? Get in touch and apply.

Do you need personal advice?
Please email Aniek for more information
 Aniek@xomnia.com]"
6,6405e4ad0ec9bc9d,Experienced Data Scientist,Picnic,Amsterdam,"[AmsterdamPicnic is an app-only supermarket. We're data driven with software at our core. Our world-class developers write immaculate code to support the world's fastest growing supermarket. We're on a quest for like-minded people to be part of the future of digital grocery shopping.

--------------------------
Where you fit in
--------------------------

As one of our Data Scientists, you work on creating automated systems to solve everyday problems by using data at scale. You don't stop after the prototype is done - you productionize it.

In a collaborative environment, you work with different people to identify issues and strategies. With the Growth team, you build a model that tells us how much orders we can expect in a day, week or month, so that our operations can grow accordingly. Together with Customer Success, you construct a system to classify and label issue types in the messages we receive from our customers. You are more than a model builder: you're an internal consultant, and your expertise and input are valued right from the start.

You might think – 'I like the sound of it, but 80% of my job is going to be cleaning data'. Not here. Our data is registered, logged, consistent...immaculate. There's no wasting time. You can immediately start writing prototypes and make an impact on the future of in-app grocery shopping.

We don't hide our developments. We open-source with the community that helped us grow. If you require more motivation to apply - check out our page: http://picnic.tech ( http://picnic.tech/ )

-----------------------------------
What challenges await you
-----------------------------------


Projects in various fields, such as:
Generating useful in-app grocery suggestions for our customers
Forecasting order volumes & article demand, used Picnic-wide
Predicting delivery drop-off times for our distribution
Categorizing and labeling Customer Success tickets
Speccing projects with business stakeholders
Creating prototypes, validating results and productionizing them on our Kubernetes cluster
Owning your projects: helping end users interpret the results, determining next steps, et cetera

------------------------------
Who you are
------------------------------


Master's degree or higher in AI, Computer Science or Mathematics
At least two years of experience in Data Science / Machine Learning
Superb communication with all kinds of colleagues:
Comfortable with taking responsibility and working independently at times
Solid Python and SQL programming skills
Experience with Docker, Kubernetes and CI is a pre
Out-of-the-box thinking and initiative: Hands-on, nothing-is-impossible mindset
Quality control: Commitment to excellence, performance, and efficiency

----------------------------------------------------
‍ Technologies we use
----------------------------------------------------


Python (Scikit-learn, Tensorflow, aiohttp - or we build our own packages)
SQL (Snowflake)
Git
Tableau

]"
7,fe43ade1fdc02486,Data Scientist - Amsterdam,OYO,Amsterdam,"[AmsterdamJob Description

Following its considerable success in India, OYO in now looking to transform the European hospitality landscape by building a network of hotels, guest homes and holiday residences across the continent. As part of our ambitious expansion plans we are hiring Data Scientist across Europe. Working with the local business teams and supported by our new Technology Center in Amsterdam, you will be responsible for conceiving, building and supporting the products and services we need to make OYO successful in Europe. This is an exciting opportunity for an ambitious, entrepreneurial, energetic and experienced Data Scientist who believes in the OYO mission and puts the customer first!
What we’re looking for
The Data Scientist will help the team with building automated algorithms, the end to end data products and business insights generations. The role requires both high technical aptitude and problem-solving abilities, motivation, intellectual curiosity, and a passion for data discovery.
The Data Science team is a high profile team that is a center of innovation for the company and a major contributor to the company’s products and business.
Responsibilties
Closely working with the core team to design algorithms for new IP product and services
Conduct advanced statistical analysis to provide actionable insights, identify trends, and measure performance
Develop new technological ways for solving high-end problems with data science & analytics
Designs experiments, test hypotheses and build models
Works with different stakeholders to identify the business requirements and the expected outcome
Recommends ongoing improvements to methods and algorithms

Qualifications

Extensive background in data mining and statistical analysis
Able to understand and various data structures and common methods in data transformation
Deep understanding of statistical modeling (Regression, Clustering, Decision trees), machine learning, algorithms, data mining concepts, and a track record of solving problems with these methods.
Experience with deep learning, SVM, k-nearest neighbors, random forests, ensemble methods, Logistic Regression, Probability Theory, Bayesian/Markov networks etc.
Demonstrated programming skills in relevant languages, including R, Python, SQL etc.
Optional Skills: Spark, Hive, Pig, d3, Ruby
Graduate degree in computer science, operations research, statistics, physics, or mathematics is preferable
2+ years of related work experience
Great communication skills
Additional Information

OYO Acquires Leisure Group
OYO Vacation Homes Re-brands
Techcrunch Announcement
OYO is an Equal Opportunity Employer. OYO does not discriminate on the basis of race, religion, color, sex, gender identity, sexual orientation, age, non-disqualifying physical or mental disability, national origin, veteran status or any other basis covered by appropriate law.]"
8,7ad3760ce75d7751,Data Science Traineeship,Careers at Growth Tribe,Amsterdam,"[Amsterdam€2.000 - €2.400 per maandWelcome to the Data Science traineeship application questionnaire!

This is your first step in applying for the 12 Month Data Traineeship, which starts in March 2020.

We only have a few spots available and many requests for this program, so don't hesitate!

***

What is the Data Traineeship?

If you make it to the end of this application process (please visit our website for the full process), we will help you land a full-time position at a high-growth company.

As part of your new job, you will be trained by us for 12 months. Here's what we offer you...

Guidance from the best in Europe
Our trainers are real practitioners!

Work and get paid in a high-growth company
This is a full-time position at a company

Join a dynamic workplace in the Amsterdam Area
Your development comes first!

Competitive traineeship salary
No cost for trainees! You will earn between 2000€ - 2400€ monthly salary

Learn data-related skills to future-proof your career
We're always up to date with the latest tech

Get access to the Netherland's fastest growing network (scale-up and corporate)
We can introduce you to a plethora of cool companies
Ready to take it to the next level?
Apply!]"
9,20af5e1e1be2c634,Data Scientist,TATA Steel,IJmuiden,"[IJmuidenVacancy information
Disciplines: Sales & Marketing
ICT
Business Excellence

Career level: Mid-career (3-5 jaar)
Pre-education: HBO
Location: IJmuiden
Final apply: 28-11-2019
Mail vacancy
Excellent statistical and mathematical skills and ready to make the difference in this new function?
What's your job?
As a Data Scientist you will be part of a the Data Scientist Team, a competence service function within Reporting & Analytics. You will be responsible for promoting and applying advanced analytics (AA) techniques within the Commercial organisation. AA requires the simultaneous application of statistics, computer programming and operations research for discovering data patterns, understanding correlations, and making predictions. As a Data Scientist in the commercial department you will be combining all in various areas. You will have close contact with Sales, Business Planning & Supply Chain and Outbound Logistics.
In this role your data-driven approaches will have a direct impact on the decision making in all of these areas.
Responsibilities:
Scoping and targeting AA application to realise business value
Developing AA models in Python, R, or other
Exploring data for correlations using tools like Spotfire
Training models with data and testing their performance
Visualising the outcomes of AA and interpreting the results
Running AA models regularly for business decision making
Building and expanding deep expertise in AA techniques
Supporting capability development on AA application in the organisation
Cooperating with external AA partners within and outside of the organisation
Is this you?
Education at Masters level
Excellent statistical and mathematical skills
Data modelling competence
Analytical tool expertise (R, Python, Spotfire, etc.)
Affinity with Machine Learning techniques and tools (PyCharm, Keras, xgboost, etc.)
Social skills to promote the application of AA in all Commercial functions
Communication skills to present the solutions and engage with decision makers
What do we offer?
One-year contract with the possibility to permanent.
A wide range of development and growth opportunities within Tata Steel.
Very interesting secondary terms such as a variable profit sharing and a fixed end-of-year bonus of 2% and 8% holiday allowance.
A minimum of 37 vacation days.
Excellent benefits including a beneficial pension scheme.
A salary that depends on your education and experience up to € 5.500,- gross per month.
Flexible working hours and a good work/life balance.
A role in which you can be a company expert by bringing forth technological insights based on detailed research analyses. These insights are utilized in innovative process and product development projects.
What's your department?
Reporting & Analytics (R&A) is a new function within Tata Steel Europe, driving the digitalisation with new tools and technologies and the application of big data and advanced analytics in the Commercial organisation. The function is critical for improving the supply chain performance, optimising the stock position, directing sales and customer service, and supporting marketing through a step change in the understanding of performance drivers and the application of leading-edge technologies.
R&A comprises of teams in the following functional areas, ensuring data consistency across Tata Steel Europe, supporting the growing needs for data management and analytics, as well as supporting Commercial steering:
Information management, data governance and master data management
Data engineering and reporting
Advanced analytics and data science
Business process management with Anaplan
Reporting and analytics development
The capabilities of R&A are a source of competitive advantage for Tata Steel Europe now and in the future.
Apply or learn more?
Are you excited about this job? Apply via the application button and do not forget to include your motivational letter. If you have any questions or need more information, please contact Edwin Reij, Corporate Recruiter, phone 0251-498921.
An assessment may be part of the application procedure.
Mail vacancy
Is this job not suitable for you, but do you know someone who fits perfectly? Please share this vacancy.
Deel of mail]"
