,Unnamed: 0,Job_ID,Salary,Job_Title,Company_Name,Location,Job_Description,Python,R,Scala,Math,Artificial_Intelligence,Deep_learning,Algorithms_and_models,Business_Skills,Communication_Skills,Stats,Machine_Learning,ML_instruments,Data_visualization,Excel,Matlab,SAS,SQL,SPSS,Big_Data,Cloud,Econometrics,NLP,Computer_vision,Leadership,Planning_and_strategy,Organizational
0,0,511c56821a441fdc,160000,"Environmental Scientist, Graduate to Senior (Mid-Senior Level)",ERM Group,Perth WA,"[Perth WAAs part of the continued growth and innovation of our Site Investigation and Risk Assessment (SIRA) team, ERM has opportunities for experienced consultants to join our global consulting firm in the ERM Perth
Our large-scale project wins across ANZ have opened up key opportunities for consultants keen to move into a global consulting firm with access to high profile and complex environmental projects. The ideal candidate would be spending extensive amount of time on site in the next 12 months.
We are seeking consultants of various levels to join us, from fresh graduates through to senior consultants to act as our Field Environmental Scientists, from a Graduate through to Senior Scientists. level. Role profiles detailed as below.
ERM’s Approach to Site Investigation & Risk Assessment:
ERM helps clients safely develop sustainable solutions to their contaminated land management challenges. We strive to develop risk based remediation strategies to protect human health and ecology, satisfy our client’s business goals and regulatory obligations, control costs and manage stakeholder expectations. Our global services include decommissioning, demolition, remediation and redevelopment strategies to help capture value from discontinued operations across the globe.
Our skill sets combine site investigation, risk assessment, remediation technology, financial, project and contract management, regulatory negotiations and field services.
Some of our key contaminated site management services include:
Field investigations
Human health and ecological risk assessments
Conceptual and numeric fate & transport modelling
Remediation portfolio & reserve assessments
Sustainable solutions, including “green” remediation
Remedial options appraisal
Decommissioning, decontamination and demolition (DDD) services
Sediment management and remediation
Remediation
Remediation engineering & construction management
We are looking for committed professionals who are interested in being part of this thriving global community – outstanding individuals who combine effective project management, a strong technical foundation and a desire to foster and expand a network of excellent client relationships. We seek talented specialists to help us drive the continued growth of ERM’s business through delivering world-class services, developing our next generation of leaders, and further advancing our reputation for supporting development of some of the world’s most complex projects.
This is a fantastic opportunity for a Consultant looking to further his/her career in a global environmental/social organisation that aims to lead the field in sustainability consulting. A career as an ERM Employee is unique. Our model offers unparalleled opportunities for consultants with ambition, vision and proven expertise, providing:
The opportunity to project manage world-class projects with established multinational clients.
A leadership position in a rewarding and dynamic consulting environment.
The ability to provide “thought leadership” on a wide range of technical and business issues impacting our core markets.
Working within ERM’s well established market, enabling development of your established relationships to further drive our growth.
ROLE PROFILE of a Senior Environmental Scientist:
To support the successful delivery of ERM projects and objectives by:
Managing large, complex, multidisciplinary or global projects
Developing strong and productive client relationships
Taking full responsibility for production of project deliverables
Managing multiple project teams
Supervision and mentoring of less experienced staff
Utilising established networks, internally and externally to benefit ERM and client delivery
Initiating and leading sales efforts, including proposal writing and delivery
In the earmarked project, acting as the Assistant Programme Manager
QUALIFICATIONS of Senior Environmental Scientist:
BS/MS in environmental science, geology, chemistry, engineering, or related field.
6+ (Senior) years of consulting experience in contaminated land, working substantially with the land development, oil and gas, power, chemical, heavy infrastructure and/or manufacturing sectors.
Business acumen to understand business risk and challenges, and recognize corporate opportunities.
Demonstrable track record in successful project management
Experience in relevant state and working on projects subject to state Site Audits would be advantageous
ROLE PROFILE of Environmental Scientist (Some experience):
To support the successful delivery of ERM projects and objectives by:
Assisting project managers or taking on smaller projects as a project manager in planning and delivering contaminated land projects through collection of field data (soil, groundwater and air) and/or site management/budget/task management;
Supervising field work and subcontractors on site;
Providing inputs into elements of project scoping, data management, and/or reporting;
Building effective working relationships with clients, project teams, disciplines and business units;
Understanding ERM's focus sectors, practices, products and services; and
Assisting project and practice teams to meet business financial targets, overall project budget and schedule, client satisfaction/expectations, and internal and contract requirements.
QUALIFICATIONS of Environmental Scientist (Some experience)
Min 3 years of fieldwork experience involving data collection (soil, water, air, etc.)
Experience overseeing and managing subcontractors is preferred (but not essential);
Proven technical report writing skills and ability to provide completed inputs into elements of projects/proposals;
Management and analysis of technical data;
Experience in project delivery is preferred (but not essential);
Exceptional relationship building skills
Willingness to work in remote areas if necessary for an extended period of time
Authorisation to work in Australia
ROLE PROFILE of a Environmental Scientist:
To support the successful delivery of ERM projects and objectives by:
Assisting project managers or taking on smaller projects as a project manager in planning and delivering contaminated land projects through collection of field data (soil, groundwater and air) and/or site management/budget/task management;
Supervising field work and subcontractors on site;
Providing inputs into elements of project scoping, data management, and/or reporting;
Building effective working relationships with clients, project teams, disciplines and business units;
Understanding ERM's focus sectors, practices, products and services; and
Assisting project and practice teams to meet business financial targets, overall project budget and schedule, client satisfaction/expectations, and internal and contract requirements.
QUALIFICATIONS of a Environmental Scientist: :
Some years of fieldwork experience involving data collection (soil, water, air, etc.);
Experience overseeing and managing subcontractors is preferred (but not essential);
Proven technical report writing skills and ability to provide completed inputs into elements of projects/proposals;
Management and analysis of technical data;
Experience in project delivery is preferred (but not essential);
Exceptional relationship building skills
Willingness to work in remote areas if necessary for an extended period of time
Authorisation to work in Australia
FEATURES & BENEFITS:
At ERM our only asset is our people and we strive to provide a working environment and benefits that both attract and retain top talent. Features and benefits include:
a competitive $ package and the opportunity for an annual bonus
flexible working options, health and wellbeing programs
a strong team atmosphere and a professional and collaborative culture
the opportunity to get involved with the ERM Foundation and help provide technical and volunteer support for non-profit organizations and social enterprises that share our commitment to creating a more sustainable and equitable world
TIMELINES:
Starting as soon as possible.
Who We Are:
As the world’s leading sustainability consulting firm, ERM is uniquely positioned to contribute to the environment and society through the expertise and energy of our employees worldwide. Sustainability is what we do, and is at the heart of both our service offerings and how we operate our business. ERM and our partners are driven by a dynamic vision: By 2021 we will be the clear leader in our chosen markets, we will double in value and we will deliver on our promises to our clients, our people and our investors. For our people, our vision means attracting, inspiring, developing and rewarding our people to work with the best clients and on the biggest challenges, thus creating valuable careers. We achieve our vision in a sustainable manner by maintaining and living our ERM values that include Accountability, Caring for our People, Client Focus, Collaboration, Empowerment, and Transparency.
Please submit your resume and brief cover letter.
ERM does not accept recruiting agency resumes. Please do not forward resumes to our jobs alias, ERM employees or any other company location. ERM is not responsible for any fees related to unsolicited resumes.
ERM is proud to be an Equal Employment Opportunity employer. We do not discriminate based upon race, religion, color, national origin, gender, sexual orientation, gender identity, age, marital status or disability status.
Thank you for your interest in ERM!]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
1,1,74e3caaf3a793916,160000,Lead Data Scientist - Tech,Michael Page,Melbourne VIC,"[Melbourne VICPermanent$180,000 - $250,000 a yearLarge data-sets and innovative work.

Flex your Maths/Stats muscles in solving complex business problems.

About Our Client
Join a culture of high performance and success with a market leading tech based organisation. You will team up with other forward thinking minds that pride themselves on thriving on complexity.

Job Description
You will largely be working alongside an established team but also leaned on from time to time to take the lead on understanding complex requirements and converting them into automation solutions.

You will contribute to identifying market-leading answers for tricky problems, and while doing this gain valuable exposure to unique data-sets and what to do with them.

The Successful Applicant
An experienced machine learning practitioner, passionate about building and improving internet-scale products informed by data.
Experience with Deep Learning (particularly CNNs and RNNs) and Natural Language Processing
Confidence working at the command line in a *nix environment
Ability to write serviceable code (e.g. Scala, Go, Python, Ruby, Java) and comfortable working with and around a professional software development team
Significant commercial experience with a focus on business problem understanding, hypothesis formation, feature engineering & predictive modeling
Deep knowledge of machine learning algorithms and efficient data structures, ensembling and model performance tuning
Good communication and interpersonal skills with the ability to communicate with business partners and product owners
Ability to adapt quickly and thrive in an environment of rapid change and ambiguity
A formal postgraduate qualification in a quantitative discipline (e.g. Physics, Mathematics, Bioinformatics, Computer Science)
What's on Offer
Conveniently located, state of the art offices.

Competitive salary.

Flexible, fun and dynamic place to work with proven high retention.

Contact:
Tim Dillon]",1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2,1b59fec794bc4437,160000,Data Scientist / Lucrative Horse Racing Prediction Up to $200K + Super,Hyre Pty Ltd,Sydney NSW,"[Sydney NSW 2000$200,000 a yearData Scientist | Perm | Sydney CBD | Up to $200K + Super

The Role.

An opportunity exists for a Data Scientist to join the team. You will be working closely with senior mathematicians and programmers to build predictive models with with large amounts of sports betting data. You'll clean the data, introduce new factors and conduct regression modelling. You have experience extracting large data sets and will be working closely with programmers. You'll mentor Jr. members of the team, working to improve existing models, and looking to automate processes.

Experience Needed.
Domain knowledge in sports betting (horses, cars, athletes)
Proficient in R or Python
SQL
Background in statistical forecasting
Strong in Algorithmic coding
Academic, with good results through Uni.
The Company.

My client is a small firm with offices across Australia, Europe, and Asia. Made up of mathematicians, statisticians, and software engineers, they are incredibly delivery focused, working with large sets of data for their clients. They are dedicated to rewarding hard work and innovative ideas and you'd have leadership with multiple successful companies in financial services and gambling domain

Other benefits:
Small team, lots of exposure
Sydney CBD location
Flexible work options]",1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3,3,c2a5e878f06fbf93,160000,Lead Data Scientist - up to $250k package,Correlate Resources,Sydney NSW,"[Sydney NSW 2000$190,000 a yearOur client is an Australian market leader in the retail loyalty space. They boast some of the industry's largest and most complex data assets. Employing the industry's brightest analytical minds they offer a hot bed for innovation and offer unparalleled opportunities for career development and growth. Due to the ongoing success of the business a brand new position has been created for a Lead Data Scientist to join the Sydney based team. With the key focus on supporting the development of a cutting edge customer decision engines the responsibilities of this role will include:
Taking the lead in a team of highly skilled Phd Data Scientists with responsibility for workflow and performance management, technical training and professional development, thought leadership and driving best practice in application innovation and delivery.
Leading the engagement with internal and external stakeholders to consult around Data Science project requirements, recommending best practice methodologies, negotiate timelines and deliverables.
Managing, manipulating and automating production of complex data sets in a true big data environment leveraging skills in Hadoop, Spark, Scala, R, Python and SQL.
Deliver and automate a range of bespoke Data Science, Machine Learning, Statistical Modelling led projects leveraging techniques that may include; Unsupervised & Supervised Learning, Bayesian Statistics, Principal Component Analysis, Neural Networks, Gradient Boosting, Linear/Logistic Regression, (Geo-) Spatial Modeling, Recommendation Engines, Attribution Modelling, Customer Segmentation, Predictive Modelling, Time Series Analysis, Decision/Scoring Engines, Monte-Carlo Simulation, Yield Optimization, etc.
The successful applicant will come from a strong background working in a senior position of a high profile Customer Loyalty driven Data Science environment and will be able to demonstrate:
Commercial experience working in Data Science building a range of complex models relating to customer marketing strategy (Acquisition, retention, growth, cross sell, churn), customer segmentation, next best action decision engines and campaign analytics.
Experience working a lead position where you have been required to deliver workflow and performance management, technical training and profesional development, thought leadership and driving best practice in application innovation and delivery.
Strong stakeholder engagement and relationship management skills.
Strong technical ability to manage, manipulate and automate production of complex data sets in a true big data environment, leveraging skills in Hadoop, Spark, Scala, R, Python and SQL.
Strong experience delivering and automating a range of bespoke Data Science, Machine Learning, Statistical Modelling led projects leveraging techniques that may include; Unsupervised & Supervised Learning, Bayesian Statistics, Principal Component Analysis, Neural Networks, Gradient Boosting, Linear/Logistic Regression, (Geo-) Spatial Modelling, Recommendation Engines, Attribution Modelling, Customer Segmentation, Predictive Modelling, Time Series Analysis, Decision/Scoring Engines, Monte-Carlo Simulation, etc.
A high academic qualification (Masters or Phd) in a highly relevant discipline Computer Science, Data Science, Statistics, Engineering etc.
To apply for this position please click on the 'Apply' button below or you're resume and cover note to Kate@correlateresources.com]",1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
4,4,65c450de82bad1e1,160000,Data Scientist,Firesoft People,Sydney NSW,"[Sydney NSWContract$300 - $1,000 a dayData Scientist

Initial 6-month term with likelihood of extension
Central Surry Hills location
One of the best Data Science teams in Australia
About the Company:

Australian retail giant is looking for an experienced Data Scientist to join a team that has been recognised by Facebook and Google as one of the most impressive Data Science teams in Australia.
About the Role:

This role supports the Data Science team in developing, implementing and optimising analytical and predictive models to deliver a better product in customer targeting.

You will be:

Developing and maintaining state of the art advanced statistical and machine learning models (GLM, Random Forests, GBM, xGBoost etc) to drive marketing strategies and tactical executions.
Executing end-to-end Data Science including scoping, building, testing, implementation, maintenance, tracking and optimisation of predictive models.
Engaging with business partners and delivery teams to ensure algorithms are delivered and implemented into production systems.
Developing, maintaining, and enhancing a variety of customer segmentation models to uncover customer insights.
About You:

In order to succeed in this role, you will have:

Experience in developing algorithms to drive commercial outcomes.
Proven commercial experience in statistical and machine learning modelling, with experience manipulating big data from disparate systems.
An advanced working knowledge of analytical programming - SQL, SAS, R, Python.
Exposure to Big Data platforms such as Hadoop and Spark.
Strong experience with SQL
Exposure to AWS Redshift or Teradata preferred.
We have already launched our headhunt campaign, so if this sounds like you, don't miss out! Click APPLY to get in touch with Niki at Firesoft People for further information.]",1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
5,5,6446bba3fe84def1,160000,Senior Data Scientist,Technology Recruiting Solutions,Melbourne VIC,"[Melbourne VIC$160,000 - $180,000 a yearFull Time Melbourne
Senior Data Scientist – Salary – $160,000-$180,000 – JD1765

Data Hacker, Analyst, Communicator, and Trusted Adviser
Machine Learning / Statistics / Advanced analytics –
Competitive Salary and Career Progression

Role Description:

Exciting opportunity for a Senior Data Scientist to join an innovative Advanced Analytics function for this diverse ASX Listed Global Organisation headquartered in the Melbourne CBD. The Senior Data Scientist will be responsible for developing and implementing analytic solutions using the latest techniques and technologies to help increase the company’s data science capability. The perfect candidate will have a degree or PHD in Mathematics, Statistics or Computer Science coupled with commercial experience applying machine learning, statistics and advanced analytics concepts and models to extract insights from large datasets

Key responsibilities:
Drive key analytics projects to develop innovative solutions to often challenging problemsDevelop predictive analysis and statistical analysis to predict outcomes and behaviorsApply Statistical/ Machine Learning techniques to build data product and featuresManage development of data resources, gather requirements, organise sources, and support product launchesContribute new ideas and analysis to the Analytics department on mathematical and statistical concepts to create value or solve problems for the businessEngage with, educate and influence internal business stakeholders (at multiple levels in the business), to help identify and deliver business-relevant information and analysis
In order to be considered for this role, you must have:
Minimum 5 years + experience as an individual technical contributor within data scienceExtensive knowledge of varied machine learning models and analytical techniques in a commercial environmentPractical experience of the methods used to apply machine learning algorithms to complex datasetsProven experience in a data or statistical analysis rolesStatistical modelling in a major package such as SAS, SPSS and good knowledge with SQL, Python and RUnderstand key behaviours that drive consumer acquisition, retention, and engagement to enable decision making about product strategy and features, marketing tools and campaignsPrior experience with Big Data frameworks (Spark, Flink, Kafka,) and AWS services (EC2, Redshift, RDS, EMR) highly desirableExperience in Data visualisation using Tableau / QlikviewDegree or PHD in Mathematics, Statistics, Computer Science or related field such as Physics, Economics or Operations Research
To apply for this position and to send your CV click on the email below:
cv@technologyrecruiting.com.au]",1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0
6,6,894966ade3375826,160000,Senior Data Scientist - $160k + Super + 20% bonus,Correlate Resources,Sydney NSW,"[Sydney NSW 2000$160,000 a yearOur client is an Australian market leader in the retail loyalty space. They boast some of the industry's largest and most complex data assets. Employing the industry's brightest analytical minds they offer a hot bed for innovation and offer unparalleled opportunities for career development and growth. Due to the ongoing success of the business a brand new position has been created for a Lead Data Scientist to join the Sydney based team. With the key focus on supporting the development of a cutting edge customer decision engines the responsibilities of this role will include:
Leading the engagement with internal stakeholders to consult around Data Science project requirements, recommending best practice methodologies, negotiate timelines and deliverables.
Managing, manipulating and automating production of complex data sets in a true big data environment leveraging skills in Google Cloud, Hadoop, Spark, Scala, R, Python and SQL.
Deliver and automate a range of bespoke Data Science, Machine Learning, Statistical Modelling led projects leveraging techniques that may include; Unsupervised & Supervised Learning, Bayesian Statistics, Principal Component Analysis, Neural Networks, Gradient Boosting, Linear/Logistic Regression, (Geo-) Spatial Modeling, Recommendation Engines, Attribution Modelling, Customer Segmentation, Predictive Modelling, Time Series Analysis, Decision/Scoring Engines, Monte-Carlo Simulation, Yield Optimization, etc.
The successful applicant will come from a strong background working in a senior position of a high profile Customer Loyalty driven Data Science environment and will be able to demonstrate:
Commercial experience working in Data Science building a range of complex models relating to customer marketing strategy (Acquisition, retention, growth, cross sell, churn), customer segmentation, next best action decision engines and campaign analytics.
Strong stakeholder engagement and relationship management skills.
Strong technical ability to manage, manipulate and automate production of complex data sets in a true big data environment, leveraging skills in Hadoop, Spark, Scala, R, Python and SQL.
Strong experience delivering and automating a range of bespoke Data Science, Machine Learning, Statistical Modelling led projects leveraging techniques that may include; Unsupervised & Supervised Learning, Bayesian Statistics, Principal Component Analysis, Neural Networks, Gradient Boosting, Linear/Logistic Regression, (Geo-) Spatial Modelling, Recommendation Engines, Attribution Modelling, Customer Segmentation, Predictive Modelling, Time Series Analysis, Decision/Scoring Engines, Monte-Carlo Simulation, etc.
A high academic qualification (Masters or Phd) in a highly relevant discipline Computer Science, Data Science, Statistics, Engineering etc.
To apply for this position please click on the 'Apply' button below or you're resume and cover note to ben@correlateresources.com]",1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
7,7,b1cb78f493c606d9,160000,Principal Data Scientist,Blink Recruitment,Melbourne VIC,"[Melbourne VIC 3000$150,000 - $180,000 a yearAn Australia household name is looking for a Principal Data Scientist to lead and manage exciting and innovative Data Science projects here in Melbourne.
This organisation has one of the largest databases in Australia and you will:
work with one the most talented and passionate Data science teams in Australia
have influence and a direct impact on the strategic direction of the organisation
have the chance to be part of cutting edge modelling projects utilising hundreds of data assets.
Uniquely for a Data Science position this is less of a “hands on” role so we are looking for someone who has the technical background but is looking to move into a more strategic and delivery focused role.

As the Principal Data Scientist, you will be considered a senior member to the Data community. You will act as the key link to the business and the Data Science team and help ensure the end to end development of the Data Science solution is delivered effectively.

Key responsibilities include:
Leading and driving the successful delivery of Data Science projects end to end
Creating and managing teams, in some cases beyond Data Scientists, to ensure the projects are accomplished.
Act as a thought leader on Data Science and advance modelling techniques
Work with Data Science teams and guide on best fit techniques and tools for various tasks
Build effective relationships across various data teams and the wider business and senior leadership team
Project management, defining business and technical requirements, resource planning and analytic solution design and innovation in a big data environment, as well quality control of analytical output.

The successful candidate will have some of these key skills:
Experience as a Data Scientist that has led projects end to end
A technical background in Analytics, delivering insights and knowledge of Data Science tools such as Python, R, Big Data, Cloud
Knowledge of stakeholder and project management skills
A passion for engaging and telling the story with Data
The last point of passion is something we are really looking for. This is an exciting and different type of role that offers an incredibly strategic and fascinating perspective on how data science is delivered within a commercial setting. The growth of this area is substantial and this role is seen as a key figure that will be able to progress quickly within this organisation.

For more info please contact Stuart Garland on 0434 984 195]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
8,8,14080ae17f1248aa,160000,Senior Manager – Data & Analytics,EY,Canberra ACT,"[Canberra ACTBe part of a high-performing, supportive culture
Work with a team of collaborators, innovators and the brightest minds in the industry
Connect locally and globally from anywhere using our advanced technology solutions
About EY
Shape the World

The opportunity

EY Data and Analytics team is the data and advanced analytics capability within EY Asia-Pacific, with over 500 specialist employees working across multiple industry sectors.

We implement information-driven strategies and systems that help grow, optimize and protect client organizations. We go beyond strategy and provide end to end implementation of real life data environments and have some of the best architects, project managers, business analysts, data scientists, big data engineers, developers and consultants in the region.

EY Data & Analytics prides itself on having a culture that is transparent, employee driven
and solutions oriented. Embedded in our culture is our dedication to building the highest performing teams and delivering exceptional client services, whilst we recognise and celebrate our successes, and our team member contributions and achievements.

As a business we focus on diversity and inclusiveness. We understand the importance of encouraging different opinions, perspectives and cultural views as the key to building successful teams and a supportive work environment. We empower our people to be confident and comfortable in expressing their individuality at work by embracing global initiatives which support gender equality, inclusiveness, and a family oriented workplace. We are passionate about what we do and how we work together as a team through open collaboration and communication to support one another’s aspirations and motivations.
Your key responsibilities
Lead the planning and budgeting for a portfolio of projects; mobilise and manage the project team.
Lead program teams comprised of both business analysts and technical streams
Manage day to day interactions with executive clients and sponsors, leading the client relationship across multiple levels
Develop and maintain contact with stakeholders (internal and external) to organise and lead engagement teams, maximise program success, expand the current program offering and enhance the quality of existing program(s)
Participate and lead the proposal development including the pricing strategy in line with the business’ processes
Lead the delivery strategy for the program, including a robust risk mitigation plan
Understanding how different projects and streams on a single account interlink and how collectively support the client’s business objectives with a focus of an integrated approach to deliver a successful client outcome
Provide professional and strategic leadership regarding best practice delivery approach, project metrics and overall project quality
Maintain best practice project management practices and methodologies
Apply change, risk and resource management disciplines
Lead the project team; provide regular performance feedback, coaching and direction to team members regarding career development aligned to their career aspirations
Lead and apply process improvement to the delivery of the project such as six sigma tools and Agile methodology in line with project standards, procedures and quality objectives
Translate complex technical concepts into simple communications which the business can understand
Skills and attributes for success
Business Development
Ability to lead business development with a proven track record of achieving business sales in the Data & Analytics with public sector market.
Strong Data & Analytics market presence and network in Canberra.
Demonstrated experience in leading and implementing complex business transformation projects that deliver improved customer-focussed and efficient services that lead to ongoing sales activities
Superior internal and external stakeholder management skills with the ability to credibly communicate, negotiate and influence strategic outcomes at C- level executives
Demonstrated ability to be successful in a fast pace, complex, matrixed environment
Project Delivery Capability:
Proven track record of independently managing Data & Analytics or SI programs of more than 40 FTEs.
Experience leading end-to-end business value Data & Analytics transformation programs
Demonstrated background as a successful Program Manager/Delivery Lead in managing high value, complex BI & Analytics programs in a large and diverse organisation
Strong problem-solving skills, with proven ability to analyse issues from different perspectives and draw commercially sound recommendations.
Experience in managing off-shore delivery
Strong stakeholder management across multiple levels (internal and external)
Excellent critical thinking, problem solving analytical capabilities
Ability to effectively work and lead across cross-functional teams on projects
Ability to make well thought decisions in complex or ambiguous situations
Solid understanding both Agile and traditional project management principles and practices
Ability to coach and mentor cross-functional dynamic teams and operate autonomously
Experience mentoring individuals and leaders
Facilitate/lead/participate in identification of solution options and features
Review project implementation to ensure alignment with conceptual design, and resolve any operational issues
Collaborate with development leads and SMEs to design and implement a solution that will best support a client’s business strategy and business needs
Ideally, you’ll also have, you will have a passion for identifying and growing new business opportunities while having credibility to pull senior clients out of their comfort zones while taking them on a Data and Analytics journey.

What working at EY offers
Our Total Rewards package includes:
e.g. remote working, flexible start and finish times
formal or informal flexible working options e.g. remote working, flexible start and finish times
career and learning development e.g. EY badges, career mentoring
an extensive range of wellbeing and benefit offerings e.g. Salary packaging, parental leave and support, health checks
Who we are
EY is an inclusive and equal opportunity employer offering a vast range of internal networks including Ability EY, our disability network, Unity, our LGBTI network and our Aboriginal and Torres Strait Islander network enabling us all to embrace and value the diverse society we live within. If you have any support or access requirements, we encourage you to advise us at the time of application via contactrecruitment@au.ey.com or +61 1800 017 666.

Join us in building a better working world. Apply now!
The preferred applicant will be subject to employment screening by EY or by their external third party provider.

#LI-ANALYTICS

© 2019 Ernst & Young Australia. All Rights Reserved. Liability limited by a scheme approved under Professional Standards Legislation.]",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
9,9,6d5ad3680f847364,160000,Fraud Team Lead,Halcyon Knights - LogicMelon,Melbourne VIC,"[Melbourne VIC$160,000 - $200,000 a yearWork for one of Australia's leading brands!
Lead a Data Science Team
You're an expert in Fraud & Risk
Are you looking to join a team where you will be designing a new product that will help Australian Businesses provide a faster, more reliable service!
About the Opportunity:
Lead our team of Data Scientists, liaising with customers and stakeholders and influence on the overall success of our Business!
Essential Skills Required:

Exposure to a Fraud and/or Risk environment.
Expereince or Exposure to Data Science/Analytics teams
Excellent Written and Spoken Communication Skills
Highly Desirable Skills:

Experience in Business Intellegence, Data Analysis, Data Science or similar.
Experience Managing a Team
Experience delivering project Strategy and Roadmaps
Technical Skills in Python, R, Tableau, SQL or similar
Exposure to working in a Cloud Environment (AWS, Azure, GCP)
Interested? Please Apply now or reach out directly to Emily – Data Science and Analytics Recruitment Specialist: emilys@halcyonknights.com.au
Please Note: Only shortlisted applicants will be contacted regarding the above opportunity. We thank all applicants for their time and application.
49804]",1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
