,Job_ID,Job_Title,Company_Name,Location,Job_Description
0,0d96a877ef17e185,Data Scientist,Tenable,Dublin,"[DublinYour Role:
Data science lies at the heart of Tenable’s strategy meaning it will play a key role in our product portfolio in the months and years ahead. In 2017, Tenable established its Data Science Centre of Excellence in our Dublin office and we are expanding. We’re looking for talented data scientists to tackle some of the hardest problems in cyber security. So if you are passionate about Data Science, and ultimately seeing the benefits it brings to customers, then look no further than Tenable.
Your Opportunity:
Join a dynamic, innovative and fast-growing company to help shape the product pipeline
Work with product managers and researchers to develop end-to-end data science and machine learning solutions to address customer needs
Work with software engineers to design and develop production-ready models
Utilise Big Data technologies (Spark, EMR) to work on some of the biggest challenges in the cyber security industry
Drive the collection of new data and the refinement of existing data sources
What You'll Need:
2+ years experience working as a Data Scientist or similar
Masters or PhD in a quantitative field (e.g. statistics, maths, CS, physics)
Hands-on experience developing software or data products
Deep understanding of machine learning and statistics
Proficient with Python and data science stack (e.g. pandas, matplotlib, scikit-learn)
Exposure to Big Data technologies
Experience with data visualisation tools
The ability to work independently and take ownership of projects
The ability to communicate results clearly and a focus on driving impact
And Ideally:
Knowledge of information security issues and trends
Familiarity with AWS or other cloud platforms (Azure, GCP).
Experience working in Agile environments (Scrum / Kanban)
 If you’ve reached this point in the job description and feel you’re still not sure if you should apply…Just do it! We know there are no perfect applicants. You may not have 100% of all those bullets listed above - and that’s okay. If you’re feeling like you’re not going to fit in with our teams - that’s not ok. We're One Tenable which means however you identify and whatever background you bring with you, we encourage you to submit an application if it’s a role you can be passionate about doing every day.

We’re committed to promoting Equal Employment Opportunity (EEO) at Tenable - through all equal employment opportunity laws and regulations at the international, federal, state and local levels.]"
1,eeb3d4cbc8bba0f0,Data Scientist Student - Grange Castle,Takeda Pharmaceuticals,Dublin,"[DublinBy clicking the “Apply” button, I understand that my employment application process with Takeda will commence and that I agree with Takeda’s Privacy Notice, Privacy Policy and Terms of Use.
Job Description
JOB PURPOSE:
The student will act as a full-time member of the Business Excellence Team supporting all departments including manufacturing, engineering and quality. The successful candidate will be required to use of a mixture of multidisciplinary skills ranging from an intersection of mathematics, statistics, computer science, communication and business to gather, optimise, analyse and interpret data from a wide range of sources on the site to help us improve our processes. The student will also support the identification of opportunities to introduce digitisation to aid continuous improvement.
RESPONSIBILITIES:
Work in a team environment where you’ll collaborate with others and put your skills to use in areas such as:
Gathers and identifies local data analytics possibilities/initiatives/requests in collaboration with IT and site departments and global data analytics.
Supports and drives local data analytics initiatives, such as for Predictive Maintenance, Down Time Analysis and respective Database management.
Assist with the creation of Learning, Training and Development analytics.
Support local process monitoring and process improvement in collaboration with local and global teams (e.g. descriptive statistics and visualization, statistical process control, out-of-the-box-tools)
Supports and participates in global/functional/local data analytics community.
Participate fully in any cross functional training initiatives.
Drive and promote the corporate values of Takeda-ism within the workplace
EDUCATIONAL REQUIREMENTS:
Working toward a bachelor’s or master’s degree in computer science, mechatronics, data science, management information systems, or a related technical or business field.
RELEVANT EXPERIENCE:
Ability to manage multiple priorities independently and simultaneously.
Strong interpersonal and communication skills (both written and verbal). Ability to excess ideas clearly and concisely.
SKILLS/COMPETENCIES:
Studying to achieve a university degree of computer science or equivalent with Mathematics, IT or Physics background with focus on e.g. Control Theory/ Statistics/
Mechatronics, Information/Operation, Technology, Innovation Management
Knowledge of
Digital/Big Data Analytics/ Artificial Intelligence/Machine Learning
Signal Processing, Control Systems, Mechatronics
Statistical Process Control
Quality mapping of parameters is a plus
Bayesian statistics, Density estimation, Bayesian Hypothesis Testing
ANOVA and forecasting techniques (ARIMA, ARMA, NARX)
Experience in Machine Learning algorithms (CNN, SVM, LSTM, etc.),
Respective programming knowledge of either MATLAB/Python/R required, further skills such as C++, SQL etc. are advantageous
Hands-on, able to implement and execute initiatives
Good project management skills
Ability to work independently as well as in a team environment, and the ability to cultivate and maintain positive business relationships; a well-motivated self-starter.
Effective problem solving, analytical aptitude, learn quickly and embrace change.
.
Locations
Grange Castle, Ireland
Worker Type
Employee
Worker Sub-Type
Paid Intern (Fixed Term) (Trainee)
Time Type
Full time


Job ID R0014484]"
2,876aee877a820445,Data Scientist - Data Modelling - Customer Analytics,IT Search,Dublin,"[DublinJob Description

The opportunity
As part of a team you'll report into a dynamic and highly experienced manager (mentor)
You'll create models and perform complex data analyses
You'll play an important role in analysis ratios and exploring improvements for key projects ensuring that there is a value delivered for customer's needs.

Qualifications

Skills
Ideally you'll have 4+ years experience in a data heavy environment
You love utilising statistics and statistical tools including R
Team of 'playful doers' - if you can apply your skills to their domain - they're happy to support you to learn the ropes.
An undergraduate degree in maths, applied maths, statistics or similiar is essential
Postgraduate education e.g. a diploma in maths or statistics or masters/ PhD would be ideal (we mean hardcore maths modelling or stats or comp science)
Coding skills to boot are very nice to have! Hint: Python Python Python
Additional Information

Reward
Strong package on offer.
Relocation packages for those moving from outside of Germany - will be provided
Ongoing events, meet ups and surprises
Significant investment in development of your own career & training - with exceptional funding provided
About IT Search
Adrian Clarke is Head of Analytics Recruitment at IT Search - Global Technology Search - Ireland. Your application will be handled in strictest confidence & we will be happy to advise you on your career & direction in digital technology, data analytics, data science, data technology or digital analytics.]"
3,,Data Analyst,PSC Biotech,Dublin,"[DublinFull-time, Contract, PermanentWho we are?PSC Biotech is a leading Biotech Consultancy firm founded in 1996, headquartered in Pomona, California, USA, with Global operations in Ireland, India, Singapore, Australia and the US, serving 350 clients in more than 23 countries worldwide. We provide cloud-based software solutions for Quality Management and Regulatory Inspections, pharmaceuticals contract manufacturing professionals, and metrology services to our clients.‘Take your Career to a new Level’PSC Biotech disrupts the conventional consultancy model by aligning our EVP as one of the unique selling point which includes the opportunity to work with the most talented cohort of like-minded professionals operating in the Pharma/ Biotech Industry. We offer a permanent contract of employment giving exposure of working in Top Pharmaceutical client sites in a diverse-cultural work setting.Employee Value PropositionEmployees are the “heartbeat” of PSC Biotech, we provide unparalleled empowering career development though Learning & Development in-house training mentorship through constant guidance to facilitate career progression. We believe in creating high performing teams that can exceed our client’s expectations with regards to quality of all scalable and business unit deliverables, staying under budget and ensuring timelines for our deliverables are being met.The role will report to the Digital & Instrumentation LeadThe responsibilities will includeQuerying and processing data from primary or secondary data sources.Create and maintain rich interactive visualizations through data interpretation and analysisIntegrating various reporting components from multiple data sourcesReview system(s) documentation so as to identify important metrics and relationships between themFilter and clean data by reviewing system(s) documentation and performance indicatorsIdentify, analyze, and interpret trends or patterns in complex data setsWorking alongside teams within the business or the management team to establish data analysis & visualisation needs and building the tools to support them.Create documentation and train users on how to use developed reportsRequirementsQualifications:Level 8 Qualification in Engineering or Computer Science or Statistics discipline or equivalent2+ years’ experience in a data analysis or data scientist roleRequired Skills:Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.Experience with visualisation tools such as Microsoft PowerApps, TIBCO Spotfire, TableauStrong programming experience with frameworks including Flask, AngularJS, D3/ChartJS, Javascript, HTML/CSS.Adept at queries, report writing and presenting findingsStrong communications, organizational and analytical skillsBenefitsExcellent PackageMin 12 month contractJob Types: Full-time, Contract, PermanentExperience:Data Analysis/data scientist: 2 years (Preferred)]"
4,1798ff6b63b9c805,Junior Data Scientist - R&D Data Lab,IT Search,Dublin,"[DublinJob Description

My client is a global leader in their space are are undergoing major digital and technological transformation. Driving this is data and this group have developed a genuinely data driven culture across the business with access to VAST amounts of anonymised data.
We're looking for a data scientist with strong modelling skills and a strong problem solving acumen. You're someone who asks ""why"" and can connect the dots between business challenges and data realities, create useful models and delight, excite and engage stakeholders with your findings.

Qualifications

Predictive modelling (coming from heavy stats/ maths)
Regression Analysis
Propensity modelling (across large customer base datasets)
Strong scientific investigative approach (hypothesis analysis and testing)
Excellent data visualisation skills - we're open on platform
Knowledge of machine learning would be helpful for the future - however right now - this group are keen to advance their existing models and are always looking to build more!
Good communications skills (presenting, engaging with various business units)
A team player - you'll enjoy working with peers on projects - trusted to deliver the goods in your own way
This role may see you travel across Europe from time to time!
Additional Information

The opportunity
You'll join a small but mighty data team of c. 5people reporting into a strong commercial general manager (who is happy to handle the commercial part & continue to leverage buy in for data projects for you)
You'll build industry leading models servicing customer acquisition, marketing efforts and customer engagement as well as solve ad hoc challenges raised by business leaders
This is a big data environment
You'll have 3-4 years industry experience.
Adrian Clarke is Head of Analytics Recruitment at IT Search. Your application will be handled in strictest confidence & we will be happy to advise you on your career & direction in data analytics, data science, data technology or digital analytics.
Our client is an equal opportunities employer - however visa sponsorship is not available for this role.]"
5,43cb663e4af07795,Junior Digital Copywriter,Web Summit,Dublin,"[DublinAbout us:
In the words of Inc Magazine “Web Summit is the largest technology conference in the world”. Forbes says Web Summit is “the best tech conference on the planet”, Bloomberg calls it “Davos for geeks”, Politico “the Olympics of tech”, and the Guardian “Glastonbury for geeks”.

Whatever Web Summit is it wouldn’t be possible without an incredible team of nearly 200 employees, including world class engineers, data scientists, designers, producers, marketers, salespeople, and more.

We’ve disrupted an old industry by building incredible software and designing mind-blowing events. We’ve revolutionised how people come together in our world. We started with one event: Web Summit. But now we’re creating category defining events all over the world, from Asia to North America.

And we’re just getting started.

About the team:
The content team communicates with our attendees and draws them to our events around the world. The team sits within the company’s wider marketing function. Working closely with advertising, email marketing, and the data science teams, we’re looking for someone to create and manage our written content to make it better and more targeted than ever before.

What you’ll achieve at Web Summit:

You'll write compelling content for our websites, sales collateral, emails, social media, newsletters, and blogs.
You’ll balance multiple priorities at a time, conceptualising and developing ideas and messages around business and marketing objectives.
You’ll review, proof and optimise outbound communication across all company platforms.
You’ll be a copy editor for several teams across the business, including our partnerships and speakers teams.
You’ll rise to challenging briefs and work closely with our design team to develop engaging campaigns.
You’ll be listened to. No matter how crazy your ideas seem!

Who you are:

You can write clear, persuasive, original copy. You’re an excellent communicator with an eye for detail.
You have a strong interest in content marketing and the world of technology. You're not just an excellent writer, you're a creative marketer. You understand the importance of A/B testing. You base your decisions on data and are able to test ideas and iterate quickly.
You have experience using different tools (email marketing tools, web content editing platforms, etc.) and a good understanding of SEO.
You’re invested in developing captivating content, finding new ways to engage with your audience, and capturing their interest.
You’re a creative at heart and are constantly thinking of new ideas to implement.

Skills and abilities we’re looking for:

Experience in digital copywriting and working to strict deadlines.
Outstanding writing and grammar.
Desire to be part of a fast-paced and varied business environment where flexibility is a must and you can adapt well to change.
Experience with email marketing platforms.

Be healthy, curious and social:

Stay healthy with our fully subsidised healthcare cover.
Exercise your mind and body with our free gym membership and yoga.
Enjoy our private garden

[https://blog.websummit.net/wp-content/uploads/2015/09/websummitgarden.jpg] right outside the office, complete with an orchard, sports equipment, and vegetables.

Enjoy an unlimited supply of fresh fruit, beverages, and cereals.
Master new skills from those around you, onsite talks, and training initiatives.
Become workmates, not just colleagues, with our active social calendar of company celebrations, trips abroad and sports.

*]"
6,e01f83ba81e939d9,Data Scientist - LexisNexis Risk Solutions - Dublin,Risk Solutions,Dublin,"[DublinData Scientist
Dublin, Ireland
Competitive Salary

Are you looking to work in a dynamic, fast paced and ever evolving environment? Here at LexisNexis we work with big data. We work in the insurance and telematics area, helping our customers determine risk using large volumes of data as well as using our geospatial knowledge in some cases to enrich the data.

As a Data Scientist, you will use LexisNexis’ vast journey data and insurance claims sources to generate usage-based insurance (UBI) models and support existing telematics products. Your experience with data analysis, statistical modelling, and machine learning will lead to immediate real-world impact in the form of prediction of insurance claim losses and as a result, increased customer profitability. The candidate will support our current product offerings and contribute to new product development by performing data normalisation, trending and forecasting, as well as statistical and predictive modelling. Will self-manage assigned tasks with little supervision. Will gain domain expertise in motor insurance, and telematics data analysis techniques. Will present work efforts, results, and conclusions to other analytics associates, and product teams across the organisation.

Responsibilities
Analyse journey data sets with the aim of finding interesting driving patterns and relationships that could help us understand the behaviour of end-users;Analyse journey data sets with the aim of finding interesting driving patterns and relationships that could help us understand the behaviour of end-users;
Analyse journey data sets with the aim of finding interesting driving patterns and relationships that could help us understand the behaviour of end-users;
Leverage claims data sources to help identify and flag risky driving trends;
Explain complex patterns of driving behaviour using data and models in a simple manner to non-technical audience;
Design data visualisations that are clear, informative, and easy to understand by both technical and non-technical team members;
Research and implement algorithmic solutions that contribute to improved business outcomes.

What we’re looking for
Experience in scoping, developing and implementing machine learning, regression, or scorecard-based models;
Experience in feature engineering (attribute creation & selection);
Coding in a programming language for data science – R, Python, SQL, etc.;
Experience working with large and small datasets intuitively exposing meaningful correlations;
Multi-tasking and prioritisation skills;
Excellent communication skills as projects require extensive phone & e-mail interaction across different time zones;
A keen eye for detail, accuracy, and strong analytical skills - numerical degree preferred (MSc / PhD advantageous)

We’re a superb company to work for, with great people, great benefits, world class technology, market leading products, a culture of innovation and collaboration, and superb career prospects.

LexisNexis® has been managing sensitive data for more than 40 years, supporting 80 percent of the Fortune 500 companies and we currently do business with 8 of the world’s top 10 banks. We also have customers in more than 100 countries worldwide, providing them access to 45 billion total records from 10,000+ different sources, that are all processed through our unique HPCC Systems at over 90 million transactions per hour

LexisNexis is an equal opportunities employer and welcomes applications regardless of sex, marital status, ethnic origin, disability, religion, sexual orientation or age]"
7,a2a6739dca648083,Data Scientist,AYLIEN,Dublin,"[DublinThe Solutions team at AYLIEN is responsible for developing and delivering solutions that rely on AYLIEN's core product suite to solve our customers' specific needs. The Solutions team is responsible for delivering successful business solutions to some of our largest clients, as well as driving the customer-led innovation within our products. This team consists of Engineers, Data Scientists, Technical Account Managers and Project Managers.

AYLIEN is currently seeking a Data Scientist in the Solutions team who will be responsible for developing Machine Learning and Natural Language Processing capabilities to solve specific customer problems.

Responsibilities:

Development and delivery of Proof of Concepts for demonstrating ML/NLP-based capabilities to our customers.
Development and delivery of production-ready solutions in collaboration with the Solutions team.
Collaboration with product management across Platform, Data, and UI teams to continuously productize functionalities developed within the Solutions team that could be beneficial to a broader set of customers.
Engagement with external customers and Technical Account Managers within the Solutions team to gather requirements, propose solutions and seek feedback.
Collaboration and knowledge sharing with Research & Platform teams regarding best practices, processes, software tools, etc.

Requirements:

Relevant experience in Natural Language Processing, Machine Learning, or Data Mining.
Strong knowledge of at least one programming language, and general software engineering skills (experience with version control systems, deployment, containers, etc).
Strong knowledge of the scientific Python stack: NumPy, SciPy, scikit-learn, TensorFlow, PyTorch, etc.

Would be great if you have:

Experience with Deep Learning.
Domain knowledge and passion for the news and media intelligence, and/or the financial analytics & risk management industry.

]"
8,375a0a6101d902fc,Digital Copywriter,Web Summit,Dublin,"[DublinAbout us:
In the words of Inc Magazine “Web Summit is the largest technology conference in the world”. Forbes says Web Summit is “the best tech conference on the planet”, Bloomberg calls it “Davos for geeks”, Politico “the Olympics of tech”, and the Guardian “Glastonbury for geeks”.

Whatever Web Summit is it wouldn’t be possible without an incredible team of nearly 200 employees, including world class engineers, data scientists, designers, producers, marketers, salespeople, and more.

We’ve disrupted an old industry by building incredible software and designing mind-blowing events. We’ve revolutionised how people come together in our world. We started with one event: Web Summit. But now we’re creating category defining events all over the world, from Asia to North America.

And we’re just getting started.

About the team:
The content team communicates with our attendees and draws them to our events around the world. The team sits within the company’s wider marketing function. Working closely with advertising, email marketing, and the data science teams, we’re looking for someone to create and manage our written content to make it better and more targeted than ever before.

What you’ll achieve at Web Summit:

You’ll write compelling content for our websites, sales collateral, emails, social media, newsletters, and blogs.
You’ll balance multiple priorities at a time, conceptualising and developing ideas and messages around business and marketing objectives.
You’ll review, proof and optimise outbound communication across all company platforms.
You’ll be a copy editor for several teams across the business, including our partnerships and speakers teams.
You’ll rise to challenging briefs and work closely with our design team to develop engaging campaigns.
You’ll be listened to. No matter how crazy your ideas seem!

Who you are:

You can write clear, persuasive, original copy. You’re an excellent communicator with an eye for detail.
You have a strong interest in content marketing and the world of technology. You're not just an excellent writer, you're a creative marketer. You understand the importance of A/B testing. You base your decisions on data and are able to test ideas and iterate quickly.
You have experience using different tools (email marketing tools, web content editing platforms, etc.) and a good understanding of SEO.
You’re invested in developing captivating content, finding new ways to engage with your audience, and capturing their interest.
You’re a creative at heart and are constantly thinking of new ideas to implement.

Skills and abilities we’re looking for:

Experience in digital copywriting and working to strict deadlines.
Outstanding writing and grammar.
Desire to be part of a fast-paced and varied business environment where flexibility is a must and you can adapt well to change.
Experience with email marketing platforms.

Be healthy, curious and social:

Stay healthy with our fully subsidised healthcare cover.
Exercise your mind and body with our free gym membership and yoga.
Enjoy our private garden

[https://blog.websummit.net/wp-content/uploads/2015/09/websummitgarden.jpg] right outside the office, complete with an orchard, sports equipment, and vegetables.

Enjoy an unlimited supply of fresh fruit, beverages, and cereals.
Master new skills from those around you, onsite talks, and training initiatives.
Become workmates, not just colleagues, with our active social calendar of company celebrations, trips abroad and sports.

]"
9,f794853c91a8cc81,Senior Data Scientist,Tenable,Dublin,"[DublinData science lies at the heart of Tenable’s strategy meaning it will play a key role in our product portfolio in the months and years ahead. In 2017, Tenable established its Data Science Centre of Excellence in our Dublin office and we are expanding. We’re looking for talented data scientists to tackle some of the hardest problems in cyber security. So if you are passionate about Data Science, and ultimately seeing the benefits it brings to customers, then look no further than Tenable.

Your Role:
Data science lies at the heart of Tenable’s strategy meaning it will play a key role in our product portfolio in the months and years ahead. In 2017, Tenable established its Data Science Centre of Excellence in our Dublin office and we are expanding. We’re looking for talented data scientists to tackle some of the hardest problems in cyber security. So if you are passionate about Data Science, and ultimately seeing the benefits it brings to customers, then look no further than Tenable.

Your Opportunity:
Join a dynamic, innovative and fast-growing company to help shape the product pipeline
Work with product managers and researchers to develop end-to-end data science and machine learning solutions to address customer needs
Work with software engineers to design and develop production-ready models
Utilise Big Data technologies (Spark, EMR) to work on some of the biggest challenges in the cyber security industry
Drive the collection of new data and the refinement of existing data sources
Mentor and support team to increase their technical knowledge and overall professional development

What You'll Need:
4+ years experience working as a Data Scientist or similar
Masters or PhD in a quantitative field (e.g. statistics, maths, CS, physics)
Hands-on experience developing software or data products in a production environment
Deep understanding of machine learning and statistics
Significant experience with Python and data science stack (e.g. pandas, matplotlib, scikit-learn)
Experience with Big Data technologies
Experience with best practices in software development (version control, testing etc)
The ability to work independently and take ownership of projects
The ability to communicate results clearly and a focus on driving impact
And Ideally:
Knowledge of information security issues and trends
Familiarity with AWS or other cloud platforms (Azure, GCP).
Experience working in Agile environments (Scrum / Kanban)
If you’ve reached this point in the job description and feel you’re still not sure if you should apply…Just do it! We know there are no perfect applicants. You may not have 100% of all those bullets listed above - and that’s okay. If you’re feeling like you’re not going to fit in with our teams - that’s not ok. We're One Tenable which means however you identify and whatever background you bring with you, we encourage you to submit an application if it’s a role you can be passionate about doing every day.

We’re committed to promoting Equal Employment Opportunity (EEO) at Tenable - through all equal employment opportunity laws and regulations at the international, federal, state and local levels.]"
